2024-10-11 02:07:57 status half-installed libssl3t64:arm64 3.0.13-0ubuntu3
2024-10-11 02:07:57 status unpacked libssl3t64:arm64 3.0.13-0ubuntu3
2024-10-11 02:07:57 install libsystemd0:arm64 <none> 255.4-1ubuntu8
2024-10-11 02:07:57 status half-installed libsystemd0:arm64 255.4-1ubuntu8
2024-10-11 02:07:57 status unpacked libsystemd0:arm64 255.4-1ubuntu8
2024-10-11 02:07:57 install libtinfo6:arm64 <none> 6.4+20240113-1ubuntu2
2024-10-11 02:07:57 status half-installed libtinfo6:arm64 6.4+20240113-1ubuntu2
2024-10-11 02:07:57 status unpacked libtinfo6:arm64 6.4+20240113-1ubuntu2
2024-10-11 02:07:57 install libudev1:arm64 <none> 255.4-1ubuntu8
2024-10-11 02:07:57 status half-installed libudev1:arm64 255.4-1ubuntu8
2024-10-11 02:07:57 status unpacked libudev1:arm64 255.4-1ubuntu8
2024-10-11 02:07:57 install libuuid1:arm64 <none> 2.39.3-9ubuntu6
2024-10-11 02:07:57 status half-installed libuuid1:arm64 2.39.3-9ubuntu6
2024-10-11 02:07:57 status unpacked libuuid1:arm64 2.39.3-9ubuntu6
2024-10-11 02:07:57 install libzstd1:arm64 <none> 1.5.5+dfsg2-2build1
2024-10-11 02:07:57 status half-installed libzstd1:arm64 1.5.5+dfsg2-2build1
2024-10-11 02:07:57 status unpacked libzstd1:arm64 1.5.5+dfsg2-2build1
2024-10-11 02:07:57 install login:arm64 <none> 1:4.13+dfsg1-4ubuntu3
2024-10-11 02:07:57 status half-installed login:arm64 1:4.13+dfsg1-4ubuntu3
2024-10-11 02:07:57 status unpacked login:arm64 1:4.13+dfsg1-4ubuntu3
2024-10-11 02:07:57 install logsave:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2024-10-11 02:07:57 status half-installed logsave:arm64 1.47.0-2.4~exp1ubuntu4
2024-10-11 02:07:57 status unpacked logsave:arm64 1.47.0-2.4~exp1ubuntu4
2024-10-11 02:07:57 upgrade mawk:arm64 1.3.4.20240123-1build1 1.3.4.20240123-1build1
2024-10-11 02:07:57 status half-configured mawk:arm64 1.3.4.20240123-1build1
2024-10-11 02:07:57 status unpacked mawk:arm64 1.3.4.20240123-1build1
2024-10-11 02:07:57 status half-installed mawk:arm64 1.3.4.20240123-1build1
